,Name,Inches,RAM,ROM,OS,Price,Links
128,OPPO Reno6 Z 5G,6.43 inches,8 GB,128 GB,"ColorOS 11.3, nền tảng Android 11",94900000.0,https://cellphones.com.vn/oppo-reno-6z.html
129,OPPO A17,6.56 inches,4 GB,64 GB,Android 12,3990000.0,https://cellphones.com.vn/oppo-a17.html
130,Samsung Galaxy S22 Ultra (12GB - 512GB),6.8 inches,12 GB,512 GB,"Android 12, One UI 4.1",36990000.0,https://cellphones.com.vn/samsung-galaxy-s22-ultra-12gb-512gb.html
131,realme C30s 2GB 32GB,6.5 inches,2 GB,32 GB,realme UI Go Edition trên nền tảng Android 12,24900000.0,https://cellphones.com.vn/realme-c30s.html
132,vivo V23e,6.44 inches,8 GB,128 GB,Android 11,84900000.0,https://cellphones.com.vn/vivo-v23e.html
133,OPPO Reno8 Pro 5G 12GB 256GB,6.7 inches,12 GB,256 GB,"Android 12, ColorOS 12.1",189900000.0,https://cellphones.com.vn/oppo-reno-8-pro.html
134,Nokia C20,6.5 inches,2 GB,32 GB,Android 11 (Go Edition),24900000.0,https://cellphones.com.vn/nokia-c20.html
135,Nokia 105 4G,1.8 inches,Không Có,128 MB,Không Có,620000.0,https://cellphones.com.vn/nokia-105-4g.html
136,Redmi A1,6.52 inches,2 GB,32 GB,Android 12 (Phiên bản Go),21900000.0,https://cellphones.com.vn/xiaomi-redmi-a1.html
137,iPhone XR 64GB I Chính hãng VN/A,6.1 inches,3 GB,64 GB,iOS 14,119900000.0,https://cellphones.com.vn/apple-iphone-xr-64-gb-chinh-hang-vn.html
138,Nubia Red Magic 7 Pusar 16GB 256GB,6.8 inches,16 GB,256 GB,"Android 12, Redmagic 5.0",219900000.0,https://cellphones.com.vn/nubia-red-magic-7-16gb-256gb.html
139,Nokia G11 Plus 3GB 32GB,6.51 inches,3 GB,32 GB,Android™ 12,33900000.0,https://cellphones.com.vn/nokia-g11-plus-32gb.html
140,POCO X5 5G 8GB 256GB,6.67 inches,8 GB,256 GB,MIUI 13 (Android 12),74900000.0,https://cellphones.com.vn/poco-x5-256gb.html
141,Nokia 215 4G,2.4 inches,Không Có,128 MB,Series 30+,950000.0,https://cellphones.com.vn/nokia-215-4g.html
142,realme 9i 4GB 64GB,6.6 inches,4 GB,64 GB,"Android 12, Realme UI 3.0",3590000.0,https://cellphones.com.vn/realme-9i-4gb-64gb.html
143,realme C33 4GB 64GB,6.5 inches,4 GB,64 GB,Android 12,39900000.0,https://cellphones.com.vn/realme-c33-4gb-64gb.html
144,iPhone 13 Pro 256GB | Chính hãng VN/A,6.1 inches,6 GB,256 GB,iOS15,269900000.0,https://cellphones.com.vn/iphone-13-pro-256gb.html
145,realme 8 5G,6.5 inches,8 GB,128 GB,"Android 11, Realme UI 2.0",79900000.0,https://cellphones.com.vn/realme-8-5g.html
146,Xiaomi Redmi 10 4GB - 128GB (2022),6.5 inches,4 GB,128 GB,"MIUI 12.5, Android 11",4290000.0,https://cellphones.com.vn/xiaomi-redmi-10-2022.html
147,Oneplus 10T 5G 16GB 256GB,6.7 inches,16 GB,256 GB,"Android 12, OxygenOS 12.1",179900000.0,https://cellphones.com.vn/oneplus-10t.html
148,OPPO A17K,6.56 inches,3 GB,64 GB,Android 12,32900000.0,https://cellphones.com.vn/oppo-a17k.html
149,Nokia C21 Plus 3GB 32GB,6.5 inches,3 GB,32 GB,Android 11 (Go edition),29900000.0,https://cellphones.com.vn/nokia-c21-plus-32gb.html
150,vivo T1X,6.58 inches,4GB + Mở rộng 1GB,64 GB,"Android 12, FunTouchOS 12",44900000.0,https://cellphones.com.vn/vivo-t1x.html
151,Samsung Galaxy S21 FE 5G (6GB - 128GB),6.4 inches,6 GB,128 GB,Android 12,15990000.0,https://cellphones.com.vn/samsung-galaxy-s21-fe.html
152,Xiaomi POCO X4 Pro,6.67 inches,6 GB,128 GB,"MIUI 13, Android 11",74900000.0,https://cellphones.com.vn/xiaomi-poco-x4-pro.html
153,ASUS ROG Phone 5S 16GB 256GB,6.78 inches,16 GB,256 GB,Android 11,209900000.0,https://cellphones.com.vn/asus-rog-phone-5s.html
154,Nubia Red Magic 7 Supernova 18GB 256GB,6.8 inches,18 GB,256 GB,"Android 12, Redmagic 5.0",21490000.0,https://cellphones.com.vn/nubia-red-magic-7-18gb-256gb.html
155,Samsung Galaxy Z Fold4 512GB,7.6 inches,12 GB,512 GB,Android 12,444900000.0,https://cellphones.com.vn/samsung-galaxy-z-fold-4-512gb.html
156,Xiaomi Redmi 10A,6.53 inches,2 GB,32 GB,"MIUI 12.5, Android 11",28900000.0,https://cellphones.com.vn/xiaomi-redmi-10a.html
157,Nokia 110 4G,1.8 inches,Không Có,128 MB,Không Có,650000.0,https://cellphones.com.vn/nokia-110-4g.html
158,Xiaomi Redmi 10C 4GB 128GB,6.71 inches,4 GB,128 GB,"Android 11, MIUI 13",38900000.0,https://cellphones.com.vn/xiaomi-redmi-10c.html
159,realme C33 3GB 32GB,6.5 inches,3 GB,32 GB,Android 12,34900000.0,https://cellphones.com.vn/realme-c33.html
160,Samsung Galaxy Note 20 Ultra,6.9 inches,8 GB,256 GB,"Android 10, One UI 2.1",29990000.0,https://cellphones.com.vn/samsung-galaxy-note-20-ultra.html
161,realme 9i 6GB 128GB,6.6 inches,6 GB,128 GB,"Android 12, Realme UI 3.0",4290000.0,https://cellphones.com.vn/realme-9i.html
162,OPPO A76,6.56 inches,6 GB,128 GB,"Android 11, ColorOS 11.1",4190000.0,https://cellphones.com.vn/oppo-a76.html
163,Oneplus 10T 5G 8GB 128GB,6.7 inches,8 GB,128 GB,"Android 12, OxygenOS 12.1",159900000.0,https://cellphones.com.vn/oneplus-10t-8gb-128gb.html
164,ASUS ROG Phone 3 12GB 512GB Chính hãng,6.59 inches,12 GB,512 GB,"Android 10, ROG UI",16990000.0,https://cellphones.com.vn/asus-rog-phone-3.html
165,Nokia 8210 4G,2.8 inches,Không Có,128 MB,S30 +,1490000.0,https://cellphones.com.vn/nokia-8210-4g.html
166,Vivo X80 Pro,6.78 inches,12 GB,256 GB,Android 12,299900000.0,https://cellphones.com.vn/vivo-x80-pro.html
167,vivo Y22S 8GB 128GB,6.55 inches,8GB + Mở rộng 8GB,128 GB,Funtouch OS 12,59900000.0,https://cellphones.com.vn/vivo-y22s.html
168,Nokia C21 Plus 2GB 64GB,6.52 inches,2 GB,64 GB,Android 11 (Go edition),28900000.0,https://cellphones.com.vn/nokia-c21-plus-2gb.html
169,Itel S23 8GB 128GB,6.6 inches,8 GB,128 GB,Android,34900000.0,https://cellphones.com.vn/itel-s23.html
170,Nokia C21 Plus 3GB 64GB,6.52 inches,3 GB,64 GB,Android 11 (Go edition),2150000.0,https://cellphones.com.vn/nokia-c21-plus.html
