,Name,Price,Cpu,Ram,Rom
63,Laptop MSI Gaming GF63 Thin 11UD i7 11800H/8GB/512GB/4GB RTX3050Ti Max-Q/Balo/Chuột/Win11 (648VN),21.490.000₫ *,i7 11800H 2.30 GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)"
64,Laptop Asus Vivobook 14X OLED S3405VA i5 13500H/16GB/512GB/Win11 (KM072W),20.990.000₫ *,i5 13500H 2.6GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe
65,Laptop Acer Gaming Nitro 5 AN515 57 53F9 i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.008),19.990.000₫ *,i5 11400H 2.7GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)"
66,Laptop Asus TUF Gaming F15 FX506HC i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win11 (HN144W),18.990.000₫ *,i5 11400H 2.7GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
67,Laptop HP Pavilion 15 eg2036TX i5 1235U/8GB/512GB/2GB MX550/Win11 (6K782PA),18.090.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
68,Laptop HP Pavilion 15 eg2062TX i5 1235U/8GB/512GB/2GB MX550/Win11 (7C0W7PA),18.090.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
69,Laptop Acer Aspire 7 Gaming A715 43G R8GA R5 5625U/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QHDSV.002),17.490.000₫ *,Ryzen 5 5625U 2.30 GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
70,Laptop Acer Aspire 7 Gaming A715 75G 58U4 i5 10300H/8GB/512GB/4GB GTX1650/Win11 (NH.Q97SV.004),15.390.000₫ *,i5 10300H 2.5GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 2666 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Không hỗ trợ khe cắm HDD Không hỗ trợ khe cắm SSD M2 mở rộng thêm"
71,Laptop Acer Predator Helios PH16 71 94N1 i9 13900HX/32GB/2TB/12GB RTX4080/240Hz/Win11 (NH.QJSSV.002),117.790.000₫,i9 13900HX 3.90 GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 5600 MHz,2 TB
72,Laptop Acer Predator Helios PH18 71 94SJ i9 13900HX/32GB/2TB/12GB RTX4080/240Hz/Win11 (NH.QKRSV.002),119.990.000₫,i9 13900HX 3.90 GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 5600 MHz,2 TB SSD NVMe PCIe
